variant,config,recall,fpr,precision,f1,accuracy,roc_auc,fp,fn
V0 original,C1 text,0.98,0.012,0.9879032258064516,0.9839357429718876,0.984,0.9991079999999999,6,10
V0 original,C2 +OCR,0.98,0.012,0.9879032258064516,0.9839357429718876,0.984,0.9991079999999999,6,10
V0 original,C3 +OCR+QR (pyzbar),0.98,0.012,0.9879032258064516,0.9839357429718876,0.984,0.9991079999999999,6,10
V0 original,C4 QShield,0.98,0.012,0.9879032258064516,0.9839357429718876,0.984,0.9991079999999999,6,10
V1 lure-as-image,C1 text,0.154,0.164,0.48427672955974843,0.2336874051593323,0.495,0.49000199999999994,82,423
V1 lure-as-image,C2 +OCR,0.928,0.02,0.9789029535864979,0.9527720739219713,0.954,0.996148,10,36
V1 lure-as-image,C3 +OCR+QR (pyzbar),0.928,0.02,0.9789029535864979,0.9527720739219713,0.954,0.996148,10,36
V1 lure-as-image,C4 QShield,0.928,0.02,0.9789029535864979,0.9527720739219713,0.954,0.996148,10,36
V2 plain QR,C1 text,0.154,0.164,0.48427672955974843,0.2336874051593323,0.495,0.49000199999999994,82,423
V2 plain QR,C2 +OCR,0.154,0.164,0.48427672955974843,0.2336874051593323,0.495,0.49000199999999994,82,423
V2 plain QR,C3 +OCR+QR (pyzbar),0.83,0.25,0.7685185185185185,0.7980769230769231,0.79,0.8869959999999999,125,85
V2 plain QR,C4 QShield,0.83,0.25,0.7685185185185185,0.7980769230769231,0.79,0.8869959999999999,125,85
V3 inverted QR,C1 text,0.154,0.164,0.48427672955974843,0.2336874051593323,0.495,0.49000199999999994,82,423
V3 inverted QR,C2 +OCR,0.154,0.164,0.48427672955974843,0.2336874051593323,0.495,0.49000199999999994,82,423
V3 inverted QR,C3 +OCR+QR (pyzbar),0.154,0.164,0.48427672955974843,0.2336874051593323,0.495,0.49000199999999994,82,423
V3 inverted QR,C4 QShield,0.83,0.25,0.7685185185185185,0.7980769230769231,0.79,0.8869959999999999,125,85
V4 ASCII QR,C1 text,0.154,0.164,0.48427672955974843,0.2336874051593323,0.495,0.49000199999999994,82,423
V4 ASCII QR,C2 +OCR,0.154,0.164,0.48427672955974843,0.2336874051593323,0.495,0.49000199999999994,82,423
V4 ASCII QR,C3 +OCR+QR (pyzbar),0.154,0.164,0.48427672955974843,0.2336874051593323,0.495,0.49000199999999994,82,423
V4 ASCII QR,C4 QShield,0.83,0.25,0.7685185185185185,0.7980769230769231,0.79,0.8869959999999999,125,85
V5 image+inv QR,C1 text,0.154,0.164,0.48427672955974843,0.2336874051593323,0.495,0.49000199999999994,82,423
V5 image+inv QR,C2 +OCR,0.928,0.02,0.9789029535864979,0.9527720739219713,0.954,0.996148,10,36
V5 image+inv QR,C3 +OCR+QR (pyzbar),0.928,0.02,0.9789029535864979,0.9527720739219713,0.954,0.996148,10,36
V5 image+inv QR,C4 QShield,0.99,0.114,0.8967391304347826,0.94106463878327,0.938,0.994284,57,5
